Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"During a concrete pour, the formwork for a wall begins to bulge outwards. The site supervisor tells the crew to 'keep pouring, we'll brace it later.' This decision is a direct violation of which TWO standards/principles?",multi-select,The requirement to have a registered professional engineer on site during all pours.,"Incorrect: An engineer must design complex formwork, but is not required to be on-site during the pour.",The formwork must be braced and shored to prevent failure from the pressure of the concrete.,"Correct: 29 CFR 1926.703(a)(1) requires that formwork shall be designed, fabricated, erected, supported, braced and maintained so that it will be capable of supporting all vertical and lateral loads. Bulging is a sign of imminent failure.",The competent person's duty to inspect the formwork during and after concrete placement.,Correct: 1926.703(b)(8) requires a competent person to inspect the formwork during placement. Observing a bulge and not stopping the pour is a failure of this duty.,The concrete must be a specific slump rating for wall forms.,Incorrect: Slump is a quality issue; the safety violation is the failure to react to signs of structural collapse.,,,,,"2,3","Concrete formwork failures are catastrophic events. The bulging formwork is a clear sign that it is not withstanding the lateral pressure of the wet concrete, a direct violation of 1926.703(a)(1). The supervisor's decision to continue pouring demonstrates a failure of the competent person's duty under 1926.703(b)(8) to inspect the pour and take immediate corrective action when a hazard (imminent collapse) is identified. The pour must be stopped immediately.",Caught-In/Between Hazards
"A road crew is performing a patch repair in one lane of a two-lane road. They have set up cones for a taper and have a flagger at the start of the work zone. A car speeds past the flagger and strikes a worker. From a traffic control perspective, what additional control might have prevented this?",multiple-choice,Using taller cones in the taper.,Incorrect: Taller cones improve visibility but don't physically stop a vehicle.,Positioning a police car with flashing lights at the start of the work zone.,Correct: The presence of law enforcement is a significant deterrent to speeding and aggressive driving and is considered a positive protection measure in many states' temporary traffic control plans.,Requiring all workers to wear high-visibility orange vests instead of yellow.,Incorrect: The color of the vest is unlikely to have prevented an inattentive or aggressive driver from ignoring a flagger.,Adding more cones to the taper.,"Incorrect: Cone spacing is important, but simply adding more cones does not provide positive protection.",,,,,2,"While standard temporary traffic control (TTC) using cones and flaggers is the norm, high-speed or high-risk locations may require enhanced measures. The presence of a law enforcement vehicle provides a higher level of authority and visibility (known as 'positive protection' in some contexts) that can significantly alter driver behavior, increasing the safety of the work zone beyond what signs and cones alone can achieve. This is a key principle in advanced TTC planning.",Struck-By Hazards
A worker is found unconscious in a 4-foot deep trench that contains a leaking propane line. Why is this atmosphere considered Immediately Dangerous to Life or Health (IDLH)?,multiple-choice,The oxygen level is likely below 19.5%.,"Correct: Propane is heavier than air. As it fills the trench from the bottom up, it displaces the oxygen. A concentration high enough to cause unconsciousness has almost certainly created an oxygen-deficient atmosphere.",The propane concentration is above its Upper Explosive Limit (UEL).,"Incorrect: If the concentration were above the UEL, it would be too 'rich' to ignite, but the primary life-threatening hazard is oxygen displacement, not flammability at this stage.",The worker was not wearing the correct respirator.,"Incorrect: The question asks why the atmosphere is IDLH, not what PPE failed.",The trench is not properly shored.,Incorrect: The shoring is a separate cave-in hazard; the IDLH condition is atmospheric.,,,,,1,"An IDLH atmosphere is one that poses an immediate threat to life. While propane is flammable, its more insidious danger in a confined space is that it is heavier than air and will displace oxygen. As the propane fills the trench, it pushes the breathable air out. A worker collapsing from 'fume inhalation' in this scenario is most likely suffering from asphyxiation due to an oxygen level far below the 19.5% minimum required for life.",Excavation & Trenching
OSHA requires employers to pay for nearly all Personal Protective Equipment (PPE). Which of the following is an example of PPE that an employer is NOT required to pay for?,multiple-choice,A flame-resistant jacket for a welder.,"Incorrect: If required for the task, the employer must pay for this specialized PPE.",A full-body harness for a worker exposed to a fall hazard.,Incorrect: The employer must pay for this critical life-safety equipment.,Everyday work boots made of plain leather.,Correct: 29 CFR 1910.132(h)(2) explicitly states that an employer is not required to pay for non-specialty safety-toe protective footwear (or non-specialty prescription safety eyewear) provided that the employer permits such items to be worn off the job-site. Everyday work boots fall into this category.,A pair of rubber insulating gloves for an electrician.,Incorrect: This is highly specialized PPE that the employer must pay for.,,,,,3,"While the rule is that employers pay for required PPE, OSHA has carved out a few specific exceptions. The most common is for certain types of safety footwear. If the footwear is non-specialty (e.g., a standard steel-toed boot vs. a chemical-proof or foundry boot) and the employee can wear it off the job, the employer is not required to foot the bill.",Personal Protective Equipment (PPE)
"A worker is using a non-GFCI protected extension cord in a dry location. The cord has been damaged by a forklift, and the internal hot and neutral wires are touching, but the grounding wire is intact. What is the immediate result of this 'short circuit'?",multiple-choice,The worker will receive a severe electric shock.,"Incorrect: In this specific fault (hot-to-neutral), the current has a low-resistance path back to the source and will not preferentially travel through the higher-resistance path of the worker's body.",The circuit breaker or fuse protecting the circuit will open.,"Correct: A 'short circuit' is a low-resistance path between the hot and neutral conductors. This causes a massive and instantaneous surge of current (amperage), which is designed to be detected by a circuit breaker or fuse, causing it to trip and de-energize the circuit.",The tool at the end of the cord will run twice as fast.,Incorrect: The tool will lose power instantly when the breaker trips.,The cord will slowly overheat and melt over several minutes.,"Incorrect: A direct short circuit causes a very rapid, high-current event, not a slow overheat (which is typical of an overload).",,,,,2,"It's important to distinguish between different types of electrical faults. A 'ground fault' is when current leaks to ground. A 'short circuit' is when the hot and neutral wires touch directly. This creates a virtually unimpeded path for electricity, causing an extremely high current flow that will 'short' the circuit back to the panel, tripping the overcurrent protection device (the breaker) almost instantly.",Electrocution
"A scaffold is erected next to a building, and the platform is fully planked with no gaps. The horizontal distance from the front edge of the platform to the face of the building is 16 inches. Which TWO statements are true about this gap?",multi-select,The gap is acceptable for plastering work without additional protection.,"Correct: 1926.451(b)(1)(ii) creates an exception, allowing a gap of up to 18 inches for plastering and lathing operations.","The gap is a violation for any other type of work, such as painting or bricklaying.","Correct: For all other types of work, 1926.451(b)(1)(i) limits the maximum gap to 14 inches.",The gap requires a personal fall arrest system to be used.,"Incorrect: This would be true if the gap exceeded the 14-inch general limit or the 18-inch plastering limit, but not in this specific plastering scenario.",The scaffold must be moved closer to the building.,"Incorrect: The 18-inch gap is permissible for this specific task, so moving the scaffold is not required.",,,,,"1,2","OSHA's scaffold standard has specific nuances. While the general rule is a maximum 14-inch gap between the platform and the work face, the standard provides a specific exception for plastering and lathing work, allowing up to an 18-inch gap to accommodate the work process. For any other trade, a 16-inch gap would be a violation requiring additional fall protection.",Ladder & Scaffold Safety
A crane operator is using a personnel platform to lift two workers to a work location. Which of the following actions is a direct violation of 1926.1431?,multiple-choice,Conducting a trial lift with the unoccupied platform before lifting the workers.,Incorrect: A trial lift is a mandatory safety requirement before lifting personnel.,Using a crane with a boom that is not 'live' (power up/power down).,"Incorrect: A live boom is required for personnel lifts to prevent uncontrolled lowering. This is a requirement, not a violation.",The workers in the basket are communicating with the operator via hand signals.,"Incorrect: Communication is required, and hand signals are a valid method.",Lifting the workers at a travel rate of 150 feet per minute.,Correct: 1926.1431(k)(1) states that the hoist speed shall not exceed 100 feet per minute. Moving personnel at a higher speed is a violation that can cause dangerous platform movement.,,,,,4,"Lifting personnel with a crane is a high-risk operation governed by a very detailed OSHA standard (1926.1431). The standard sets many specific operational limits to ensure safety, including a maximum hoist speed of 100 feet per minute. This slow, controlled speed prevents bouncing and swinging of the platform, ensuring a safe ride for the occupants.",Struck-By Hazards
"An employer performs air monitoring for silica and gets a result of 60 µg/m³ for a worker over an 8-hour TWA. The Permissible Exposure Limit (PEL) is 50 µg/m³ and the Action Level (AL) is 25 µg/m³. According to 1926.1153, the employer must now:",multiple-choice,"Implement engineering controls, provide respiratory protection with an APF of 10, and establish a regulated area.","Correct: This exposure is above the PEL. The standard requires the employer to implement feasible engineering controls, establish regulated areas, AND provide respiratory protection sufficient to reduce the exposure to below the PEL. A half-mask respirator with an APF of 10 would be required.",Only provide a respirator with an APF of 10.,"Incorrect: PPE is required, but it must be in addition to attempting to implement engineering controls.",Re-test within 30 days to confirm the reading.,"Incorrect: Action must be taken based on the result. While re-testing may be part of a larger strategy, immediate controls are needed.",Enter the worker into a medical surveillance program but take no other action.,"Incorrect: Medical surveillance is required (as the exposure is above the AL), but it does not replace the need for engineering controls and PPE to reduce the exposure.",,,,,1,"OSHA's silica standard dictates specific actions based on exposure levels. Since the exposure of 60 µg/m³ is above the PEL of 50 µg/m³, the employer has multiple mandatory actions. They must try to reduce the exposure through engineering controls, they must demarcate the area as a 'regulated area' to limit access, and they must provide appropriate respiratory protection (in this case, an APF of at least 10) to get the employee's exposure below the PEL.",Health Hazards
"A worker is using a 6-foot stepladder to access a ceiling space. The ladder is placed directly under the work, forcing the worker to stand on the second-to-top step and work directly overhead. What is the primary ergonomic hazard created?",multiple-choice,The ladder is not the correct type for this task.,"Incorrect: A stepladder is appropriate, but its placement is poor.",Working with the neck and shoulders in a state of prolonged hyperextension.,"Correct: Working directly overhead for extended periods forces the neck and back into an awkward, strained posture (hyperextension). This is a significant ergonomic risk factor for developing musculoskeletal disorders in the neck and shoulders.",The worker is not maintaining three points of contact.,"Incorrect: The worker is standing still, not climbing, so the three-point contact rule does not apply in the same way. The static posture is the hazard.",The ladder could tip over.,"Incorrect: While a stability hazard might exist, the question asks for the primary ergonomic hazard related to the posture.",,,,,2,"Ergonomics includes not just lifting but also sustained awkward postures. By placing the ladder directly underneath the work, the worker is forced to tilt their head back severely. This posture puts significant strain on the muscles and vertebrae of the neck and upper back. The correct ergonomic practice would be to place the ladder slightly to the side, allowing the worker to face the work with a more neutral posture.",Health Hazards
"An extension cord is plugged into a wall outlet. This single cord is then connected to a power strip/surge protector, which has five different power tools plugged into it. This practice, known as 'daisy chaining,' is a violation because:",multiple-choice,The power strip is not GFCI protected.,Incorrect: GFCI protection is a separate issue from the daisy-chaining hazard.,"It can overload the original extension cord or wall circuit, creating a fire hazard.","Correct: Power strips do not create more power; they only split the available current. Plugging multiple high-draw tools into one strip, which is then fed by a single extension cord, can easily draw more amperage than the cord or the circuit is rated for, causing it to overheat and potentially start a fire.",The total length of the cord run exceeds 100 feet.,Incorrect: The length is not mentioned and is not the primary hazard of daisy chaining.,The tools have not been inspected under an AEGCP.,Incorrect: The inspection program is a separate issue from the hazardous wiring method.,,,,,2,"Daisy chaining (connecting extension cords to power strips or other extension cords) is a common but dangerous electrical violation. The building's circuit protection (the breaker) is designed to protect the wiring in the wall, not the extension cords plugged into it. By plugging too many devices into one chain, the user can easily overload a cord, causing it to melt and ignite long before the building's breaker ever trips.",Electrocution
A worker is using a portable band saw to cut metal pipe. The portion of the blade that is not cutting the pipe is exposed. This is a violation because:,multiple-choice,The blade should be a bi-metal construction.,"Incorrect: The blade material is a quality/performance issue, not a guarding violation.","All portions of the blade must be guarded, except for the part doing the work (at the point of operation).","Correct: 29 CFR 1926.304(f) requires that all portable, power-driven circular saws be equipped with guards. While this standard specifically names circular saws, the principle of guarding the unused portion of the blade applies to other saws, like band saws, under the general machine guarding standard 1926.300(b).",The worker is not wearing cut-resistant gloves.,Incorrect: PPE is a secondary control; the primary violation is the lack of a machine guard.,The saw is not plugged into a GFCI outlet.,"Incorrect: GFCI protects from shock, not from contact with the moving blade.",,,,,2,"The principle of machine guarding is to prevent contact with the hazardous moving parts. For any saw, this means the portion of the blade that is not actively cutting the material should be enclosed by a guard. On a portable band saw, this prevents the operator's free hand or other body parts from accidentally contacting the moving blade on the top or back side of the tool.",Caught-In/Between Hazards
A 'competent person' for scaffolding inspection must have which specific qualification?,multiple-choice,A certificate from a third-party training provider.,"Incorrect: While certificates are evidence of training, they are not a required qualification in themselves.",At least 5 years of experience erecting scaffolds.,Incorrect: OSHA does not specify a minimum number of years of experience.,The ability to identify existing and predictable hazards and the authority to take prompt corrective measures.,"Correct: This is the specific definition of a competent person provided by OSHA in 29 CFR 1926.450(b). It is about capability and authority, not a specific credential.",A degree in structural engineering.,"Incorrect: This describes a 'qualified person' or RPE, who has different responsibilities (like design).",,,,,3,"The definition of a 'competent person' is one of the most important concepts in the OSHA standards. It is not about a piece of paper or years of service. It is a dual requirement: 1) the person must have the knowledge and training to recognize hazards, and 2) the person must have been given the authority by the employer to stop the work and correct those hazards immediately.",Ladder & Scaffold Safety
"An employee is exposed to an airborne chemical at a concentration of 40 ppm. The chemical's OSHA PEL is 50 ppm, but the ACGIH Threshold Limit Value (TLV) is 30 ppm. From a strict OSHA compliance standpoint, has a violation occurred?",multiple-choice,"Yes, because the exposure exceeds the more protective ACGIH TLV.","Incorrect: OSHA enforces its own PELs. While using the TLV is a best practice, it is not legally enforceable by OSHA.","No, because the exposure is below OSHA's legally enforceable PEL.","Correct: OSHA can only cite employers for violations of its own standards. Since the exposure of 40 ppm is below the OSHA PEL of 50 ppm, no violation of the exposure limit standard has occurred.","Yes, because any exposure to a hazardous chemical is a violation under the General Duty Clause.","Incorrect: The General Duty Clause is for recognized hazards without a specific standard. Here, a specific PEL exists and has not been exceeded.","Maybe, it depends on whether the employee was wearing a respirator.","Incorrect: The question is about whether the ambient concentration itself constitutes a violation, regardless of PPE.",,,,,2,"This question tests the important legal distinction between OSHA's Permissible Exposure Limits (PELs) and other occupational exposure limits like the ACGIH's Threshold Limit Values (TLVs). OSHA can only enforce its own PELs. While TLVs are often more up-to-date and protective (and following them is a sign of a strong safety program), an employer is not in violation of an OSHA standard unless the exposure exceeds the specific OSHA PEL.",Health Hazards
Which of the following is the best example of applying the 'elimination' principle from the hierarchy of controls to a fall hazard?,multiple-choice,Providing every worker with a personal fall arrest system.,"Incorrect: This is an example of PPE, the lowest level of control.",Installing guardrails around the perimeter of the work area.,"Incorrect: This is an engineering control that isolates the hazard, but does not eliminate it.",Performing as much of the work as possible on the ground before lifting the completed assembly into place.,"Correct: Elimination means physically removing the hazard. By assembling the unit on the ground, the need for workers to be exposed to the fall hazard in the first place is eliminated.",Using a mobile elevating work platform instead of a ladder.,"Incorrect: This is substitution; it replaces one hazard with a different (hopefully lesser) one, but it does not eliminate the fall hazard itself.",,,,,3,"The hierarchy of controls prioritizes actions that are most effective. Elimination, at the very top, is the most effective because it removes the hazard entirely. In this case, redesigning the work process to build components on the ground completely removes the need for workers to be at height, thus eliminating the fall hazard for that portion of the work.",Fall Protection
"A worker needs to cross a 10-foot deep trench. The site supervisor lays two 2x12 wooden planks across the trench, but does not add guardrails or secure the planks. A worker falls from the planks into the trench. The lack of guardrails is a violation because:",multiple-choice,All bridges over trenches require guardrails.,Incorrect: The requirement depends on the fall height.,The fall distance from the walkway into the trench is greater than 6 feet.,Correct: 29 CFR 1926.651(l)(2) states that walkways shall be provided with a guardrail system where employees or equipment are required or permitted to cross over excavations. The general fall protection rule (1926.501) would mandate this at 6 feet.,The planks were not wide enough for safe passage.,Incorrect: 24 inches of width is generally considered adequate; the missing guardrails are the primary violation related to the fall.,The planks were not inspected by a competent person.,"Incorrect: The physical defect (missing guardrails) is the violation, not the inspection process.",,,,,2,"When a walkway is created over an excavation, it becomes a walking/working surface. The fall protection rules then apply. Since the drop from the planks into the trench is 10 feet, which is greater than the 6-foot threshold, a standard guardrail system is required on the walkway per 1926.651(l)(2) to prevent workers from falling off the sides.",Excavation & Trenching
A flammable gas meter shows a reading of 15% LEL for methane in a confined space. What does this reading signify?,multiple-choice,The atmosphere is safe for entry without a respirator.,Incorrect: 15% LEL is above the level where entry is permitted.,The atmosphere is at 15% of the concentration needed to support combustion.,Correct: LEL stands for Lower Explosive Limit. A reading of 15% LEL means the atmosphere contains 15% of the fuel concentration required to trigger an explosion if an ignition source is present. OSHA prohibits entry when the LEL is 10% or greater.,The atmosphere contains 15% methane gas by volume.,Incorrect: This is a common and dangerous misinterpretation. 100% LEL for methane is about 5% methane by volume. So 15% LEL is only about 0.75% methane by volume.,The oxygen level has been enriched to 15% above normal.,"Incorrect: LEL measures flammable gas, not oxygen.",,,,,2,Understanding LEL readings is critical for confined space safety. The LEL is the minimum concentration of a gas in air that can ignite. The meter reading is a percentage of that limit. OSHA 1926.1207(e) prohibits entry into a confined space if the flammable gas concentration is 10% of the LEL or higher. A 15% LEL reading indicates a hazardous atmosphere that is approaching an explosive state.,Health Hazards
A worker is using an abrasive wheel on a bench grinder. The gap between the upper wheel guard and the wheel is 1/2 inch. The work rest is properly adjusted to 1/8 inch. What is the hazard associated with the guard spacing?,multiple-choice,It allows the operator to touch the side of the wheel.,"Incorrect: The primary hazard of an improperly gapped guard is not contact, but failure containment.",It will not effectively contain the fragments if the wheel shatters.,Correct: The adjustable tongue guard on a bench grinder must be kept adjusted to within 1/4 inch of the wheel (1926.303(c)(1)). A larger gap allows fragments of a shattered wheel to escape in the direction of the operator.,It creates excessive vibration in the grinder.,Incorrect: Guard spacing does not cause vibration.,It allows the workpiece to be jammed between the guard and the wheel.,"Incorrect: The work rest, not the upper guard, is what prevents the workpiece from being jammed in that manner.",,,,,2,"Bench grinder safety depends on several key adjustments. In addition to the work rest, the upper tongue guard must be set no more than 1/4-inch from the wheel. This guard's purpose is to contain the high-velocity fragments if the wheel explodes. A gap of 1/2-inch is too large and defeats this critical safety function, violating 1926.303(c)(1).",Struck-By Hazards
A worker is applying spray foam insulation in a poorly ventilated room. The Safety Data Sheet (SDS) for the isocyanate component (Part A) requires a supplied-air respirator. The employer provides a half-mask respirator with organic vapor cartridges. This is a serious violation because:,multiple-choice,The worker was not fit-tested for the half-mask respirator.,"Incorrect: While fit-testing is required, the type of respirator is the more fundamental error.",Isocyanates can cause sensitization and do not have good warning properties.,"Correct: Isocyanates are potent sensitizers, meaning they can cause a severe, permanent allergic reaction (occupational asthma). They also have poor warning properties (you can't smell them until you are already overexposed). Therefore, an air-purifying respirator is not protective enough; a supplied-air system is required.",Organic vapor cartridges do not filter out isocyanates.,"Incorrect: They can filter them, but they become saturated quickly and without warning, making them unreliable and unsafe for this chemical.",A full-facepiece respirator should have been provided.,Incorrect: Even a full-facepiece air-purifying respirator is insufficient due to the poor warning properties of isocyanates. Supplied-air is necessary.,,,,,2,"Choosing the right respirator requires understanding the hazard. Isocyanates are particularly dangerous because they can permanently sensitize a worker's respiratory system and they can't be reliably detected by smell. For these reasons, OSHA and NIOSH mandate the use of a supplied-air respirator, which provides a clean source of air from outside the contaminated area, rather than relying on filtering the contaminated air. This is a critical chemical-specific requirement.",Health Hazards
A crane is set up with its outriggers fully extended. One outrigger pad is resting on top of a water valve cover in the street. Why is this a hazardous condition?,multiple-choice,The crane is not perfectly level.,"Incorrect: The ground may be level, but the support point is the issue.",The outrigger pad is not large enough.,Incorrect: The size of the pad is not the violation; it's what the pad is resting on.,The valve cover is not a stable ground surface and could collapse under the load.,"Correct: 29 CFR 1926.1402 requires cranes to be assembled on ground that is firm, drained, and graded. An outrigger exerts immense pressure. Placing it on a hollow structure like a utility vault or valve cover creates a high risk of the cover collapsing, causing the crane to become unstable and tip.",The outrigger is blocking access to the water valve.,Incorrect: Access is a secondary concern; the primary hazard is the catastrophic failure of the support point.,,,,,3,"Proper crane setup is foundational to safety. The ground under each outrigger must be able to support the massive point loads generated during a lift. A utility cover, manhole lid, or valve box is not solid ground. It is a lid over a void. Placing an outrigger on such a surface is a gamble that it will not crack or collapse, leading to a sudden and catastrophic loss of stability for the crane.",Struck-By Hazards
Which of the following is an example of a 'struck-by flying object' hazard?,multiple-choice,A trench wall collapses on a worker.,Incorrect: This is a 'caught-in/between' hazard (caught in a collapse).,A worker is hit by a car while working on the highway.,"Incorrect: This is a 'struck-by vehicle' hazard, a specific sub-category.",A piece of concrete is ejected from a jackhammer and hits a worker's leg.,"Correct: This is a classic example of a 'struck-by flying object' hazard, where an object is propelled through the air by a tool or machine and strikes a person.",A worker's hand is pulled into a belt and pulley system.,Incorrect: This is a 'caught-in/between' hazard.,,,,,3,"OSHA's 'Focus Four' requires distinguishing between hazard types. A 'struck-by flying object' hazard occurs when an object that has been set in motion (e.g., thrown, ejected, propelled) makes contact with a person. Debris being thrown from a power tool like a jackhammer, grinder, or saw is a textbook example.",Struck-By Hazards
A steel erection contractor decides to hoist a load of steel beams at a wind speed of 35 mph. The site-specific erection plan does not specify a maximum wind speed for hoisting. This action is:,multiple-choice,"Permissible, as long as the operator is certified.",Incorrect: Operator certification does not override safety rules regarding weather conditions.,"A violation, because hoisting operations must cease when wind speeds exceed a safe level as determined by a qualified person.","Correct: 29 CFR 1926.753(c)(2) states that a qualified rigger and the crane operator must determine that it is safe to perform a lift. Wind is a critical factor. While no specific mph is listed in the standard, hoisting in high winds is unsafe, and proceeding could be a violation of this rule and the General Duty Clause. Many crane manufacturers set limits around 20-30 mph.","Permissible, because OSHA does not set a specific maximum wind speed.","Incorrect: While OSHA doesn't set a number, it does require the lift to be conducted safely. Proceeding in high winds would not be considered safe by any reasonable standard.","A violation, because the maximum allowable wind speed is 20 mph.","Incorrect: OSHA does not set a specific 20 mph limit; this is a common industry rule of thumb, but not a specific OSHA regulation.",,,,,2,"Crane operations are highly susceptible to wind. High winds can cause the load to swing uncontrollably, put dangerous side-loading on the crane boom, or even cause the crane to tip. While OSHA's standard is performance-based (requiring a qualified person to deem it safe), industry best practice and manufacturer limits generally call for ceasing crane operations at wind speeds between 20 and 30 mph. A lift at 35 mph is reckless and a clear hazard.",Struck-By Hazards
A worker is using a fiberglass extension ladder that has been painted by the company to match their brand colors. Why is this a violation?,multiple-choice,The paint adds extra weight to the ladder.,Incorrect: The weight of the paint is negligible and not the primary safety concern.,The paint can hide structural defects in the ladder's side rails.,"Correct: 29 CFR 1926.1053(a)(1)(ii) requires that ladders be maintained free of hazards. Painting an opaque coating on a ladder can conceal cracks, splits, or other damage that would otherwise be visible during an inspection.",Fiberglass ladders should never be used outdoors.,"Incorrect: Fiberglass is an ideal material for outdoor ladders, especially near electricity.",The paint could be flammable.,"Incorrect: While a potential hazard, the primary violation is that the paint can hide damage.",,,,,2,"Ladder inspections are a critical daily safety practice. A key part of the inspection is looking for cracks, dents, and other structural damage. Applying a coat of non-transparent paint to a ladder, whether wood or fiberglass, can easily hide these potentially catastrophic defects. For this reason, ladders should only be coated with a clear varnish or left uncoated.",Ladder & Scaffold Safety
An employer's written Emergency Action Plan (EAP) must include which TWO of the following elements to be compliant with 29 CFR 1926.35?,multi-select,The names and phone numbers of the company's executive officers.,Incorrect: This is not a required element of an EAP.,Procedures for reporting a fire or other emergency.,Correct: 1926.35(b)(1) explicitly requires the EAP to include procedures for reporting emergencies.,"Procedures for emergency evacuation, including type of evacuation and exit route assignments.",Correct: 1926.35(b)(1) also requires the EAP to include procedures for evacuation and designated escape routes.,A copy of the company's liability insurance policy.,Incorrect: Insurance information is not part of an EAP.,,,,,"2,3","An Emergency Action Plan is a critical document for site safety. According to OSHA 1926.35, the written plan must be a clear, actionable guide. At its core, it must tell employees exactly how to report an emergency (e.g., pull alarm, call 911, use radio) and how to safely evacuate the area (e.g., which routes to take, where the assembly point is).",Domain
"During a trenching operation, the competent person is on another part of the job site, 500 yards away. An excavator operator begins digging a new section of trench and allows a worker to enter it to measure the depth. The trench is 7 feet deep with vertical walls. The absence of the competent person during this critical phase is a violation because:",multiple-choice,The competent person must personally operate the excavator.,"Incorrect: The competent person supervises, they do not need to operate the equipment.",The competent person must be present to supervise the initial excavation and prevent premature entry.,"Correct: One of the key duties of the competent person is to be present during excavation activities to identify hazards as they develop, classify soil, and ensure protective systems are used before any employee enters a hazardous trench. Their absence means there is no qualified oversight.",The worker entering the trench was not a 'qualified' surveyor.,Incorrect: The worker's qualification is not the issue; the violation is the entry into an unprotected trench.,The excavator operator must also be certified as a competent person.,Incorrect: The operator and competent person are two distinct roles with different responsibilities.,,,,,2,"The role of the competent person in trenching is active, not passive. They must be on-site and engaged in the process, especially when conditions are changing or new areas are being excavated. Their absence during a critical activity like digging a new trench means that no one is performing the required hazard analysis, soil classification, and oversight needed to ensure the trench is safe before a worker is exposed to a potential cave-in.",Excavation & Trenching
What is the critical difference between 'bonding' and 'grounding' when dealing with the transfer of flammable liquids?,multiple-choice,Bonding is for metal containers; grounding is for plastic containers.,"Incorrect: The principle applies to conductive containers, which are typically metal. Plastic containers present different static electricity challenges.",Bonding equalizes the electrical potential between two containers; grounding connects a container to the earth.,"Correct: This is the key distinction. Bonding uses a wire to connect two objects (like a drum and a safety can) to keep them at the same electrical potential, preventing a static spark from jumping between them. Grounding connects an object to the earth to drain away any static charge. Both are often used together.","Bonding is required by OSHA, but grounding is only a best practice.",Incorrect: Both are required by 29 CFR 1926.152(e)(2) when transferring Class I flammable liquids.,"Bonding uses a braided wire, while grounding uses a solid wire.",Incorrect: The type of wire construction is not the defining difference.,,,,,2,"Bonding and grounding are related but distinct concepts for controlling static electricity. When pouring a flammable liquid, static can build up. 'Bonding' connects the dispensing and receiving containers so that they are at the same electrical charge, preventing a spark from jumping the gap. 'Grounding' connects the dispensing container to the earth, providing a path for the static charge to safely dissipate. Both are required to prevent a fire or explosion.",Health Hazards
"A worker wearing a full-body harness falls from a height of 10 feet. The personal fall arrest system (PFAS) works correctly and the worker is left suspended, uninjured but unable to self-rescue. What is the immediate hazard the worker now faces?",multiple-choice,Violation of the 6-foot free fall rule.,Incorrect: The fall has already occurred; this is no longer the immediate hazard.,Suspension trauma (orthostatic intolerance).,"Correct: When a person is suspended motionless in a harness, the leg straps can cut off circulation. This can lead to blood pooling in the legs, causing a drop in blood pressure, loss of consciousness, and potentially death in a matter of minutes.",The harness may have been damaged in the fall.,"Incorrect: While possible, the physiological effect on the worker is the more immediate life-threatening hazard.",The anchor point may have been weakened.,Incorrect: The anchor point held; the hazard is now to the suspended worker.,,,,,2,"An arrested fall is not the end of the emergency; it's the beginning of a rescue. Suspension trauma is a deadly and fast-acting hazard. The pressure from the harness leg straps can restrict blood flow, leading to fainting and serious medical complications. This is why every fall protection plan must include a prompt rescue plan to retrieve a suspended worker as quickly as possible.",Fall Protection
"An electrical panel has a sign that reads 'DANGER - HIGH VOLTAGE - 480 VOLTS'. The panel door is closed but not locked. A qualified electrician is about to begin work on the circuits inside. According to NFPA 70E and safe work practices, what is the first step the electrician must take?",multiple-choice,Put on a full arc flash suit with a hood and gloves.,"Incorrect: PPE is necessary for live work, but the first step is always to try to de-energize.",Verify the circuit is de-energized using a voltmeter.,"Incorrect: This is a critical step, but it happens after the circuit has been shut off and locked out.",Shut off the circuit breaker feeding the panel and apply a personal lock and tag.,Correct: The first principle of electrical safety is to establish an electrically safe work condition. This always begins with de-energizing the equipment at its source and applying Lockout/Tagout (LOTO) to prevent re-energization.,Post a safety watch outside the panel.,"Incorrect: This is a supplemental precaution, not the primary step to control the hazard.",,,,,3,"Electrical safety protocols, guided by NFPA 70E, follow a strict hierarchy. The preferred and mandatory first step before any work begins is to eliminate the hazard. This is accomplished by de-energizing the circuit and applying a lock and tag. All other actions, like testing for absence of voltage and putting on PPE, follow this initial, most critical step.",Electrocution
"A worker is using a 10-foot stepladder. To reach an object on a high shelf, they place one foot on the top step and the other foot on the top cap of the ladder. This is a serious violation because:",multiple-choice,The ladder's load rating is exceeded.,Incorrect: The worker's weight has not changed; the stability has.,The worker is not maintaining three points of contact.,"Incorrect: While also likely true, the more severe violation is standing on the prohibited top surfaces.",The top step and top cap are not designed to be stood upon and make the ladder extremely unstable.,"Correct: 29 CFR 1926.1053(b)(13) explicitly forbids using the top or top step of a stepladder as a step. These surfaces are not designed for standing and place the worker's center of gravity too high, leading to a high risk of tipping over.",A 12-foot ladder should have been used.,"Incorrect: Using a taller ladder would be safer, but the violation is the misuse of the current ladder.",,,,,3,"The top cap and top step of a stepladder are not steps. They are part of the ladder's bracing and are not intended to bear a person's weight. Standing on them, as prohibited by 1926.1053(b)(13), creates a top-heavy, unstable situation that is a leading cause of stepladder fall incidents.",Ladder & Scaffold Safety
